hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
City Hotel,0,5,2017,April,15,12,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,94.0,,0,Transient,75.0,0,2
Resort Hotel,1,211,2017,April,17,24,3,6,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,E,No Deposit,240.0,,0,Transient,81.0,0,2
City Hotel,1,50,2016,November,47,18,1,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,93.6,0,2
City Hotel,0,198,2016,May,21,20,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,No Deposit,1.0,,98,Transient-Party,65.0,0,0
City Hotel,1,32,2015,November,47,20,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,No Deposit,119.0,,0,Transient-Party,73.0,0,0
City Hotel,1,80,2017,March,13,31,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,Non Refund,56.0,,0,Transient,90.0,0,0
City Hotel,0,35,2015,December,52,26,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,B,No Deposit,9.0,,0,Transient-Party,77.25,0,2
Resort Hotel,0,2,2017,February,9,26,1,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,No Deposit,240.0,,0,Transient,60.0,0,1
Resort Hotel,0,5,2015,August,31,1,2,3,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,No Deposit,241.0,,0,Transient,165.32,0,2
City Hotel,1,38,2017,February,8,23,2,5,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,102.0,0,0
City Hotel,1,52,2017,March,11,16,0,3,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,79.2,0,0
City Hotel,1,119,2017,May,20,18,0,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,126.0,0,0
City Hotel,1,78,2017,April,17,29,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,Non Refund,6.0,,0,Transient,90.0,0,0
City Hotel,1,288,2016,December,52,22,2,5,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,B,No Deposit,9.0,,0,Transient-Party,67.25,0,0
City Hotel,0,29,2017,July,29,20,0,3,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,140.0,0,1
Resort Hotel,0,63,2015,August,34,20,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,No Deposit,240.0,,0,Transient-Party,163.5,0,2
City Hotel,0,140,2015,November,47,18,0,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,No Deposit,29.0,,87,Transient-Party,65.0,0,0
Resort Hotel,0,1,2017,January,2,10,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,240.0,,0,Transient,43.0,0,2
City Hotel,0,156,2017,July,30,28,1,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,No Deposit,7.0,,0,Transient,90.0,0,1
Resort Hotel,0,0,2016,November,47,14,1,0,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,No Deposit,240.0,,0,Transient,79.0,1,1
Resort Hotel,0,66,2017,June,23,4,2,2,2,0.0,0,BB,LVA,Direct,Direct,0,0,0,F,No Deposit,250.0,,0,Transient,187.0,0,2
City Hotel,0,1,2017,January,1,6,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,87.69,1,0
City Hotel,1,276,2016,May,20,13,2,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,Non Refund,21.0,,160,Transient,61.0,0,0
Resort Hotel,0,132,2015,September,40,29,2,5,1,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,6.0,,0,Transient,37.0,0,0
City Hotel,1,72,2016,March,12,18,2,3,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,72.25,0,1
City Hotel,0,24,2016,September,40,26,1,0,1,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,138.0,,0,Transient,85.5,0,0
City Hotel,1,133,2017,April,15,15,0,1,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,118.8,0,0
City Hotel,0,166,2016,April,17,21,0,3,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,B,No Deposit,7.0,,0,Group,73.6,0,2
City Hotel,0,111,2017,May,20,14,2,1,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,No Deposit,83.0,,0,Transient,117.6,0,0
City Hotel,1,258,2015,July,27,2,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,1,1,0,A,No Deposit,1.0,,0,Transient-Party,62.8,0,0
City Hotel,0,204,2015,August,33,12,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient-Party,76.5,0,3
City Hotel,1,0,2015,October,43,20,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,0,D,No Deposit,3.0,,0,Transient,97.0,0,0
City Hotel,1,281,2016,April,16,14,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,Non Refund,1.0,,0,Transient,62.0,0,0
Resort Hotel,0,2,2017,March,12,22,0,1,1,0.0,0,BB,,Direct,Corporate,0,0,10,A,No Deposit,,269.0,0,Transient,60.0,0,1
City Hotel,0,0,2017,April,15,13,0,1,2,0.0,0,SC,HRV,Online TA,TA/TO,0,0,0,A,No Deposit,152.0,,0,Transient,88.56,0,0
Resort Hotel,1,33,2017,February,7,17,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,No Deposit,240.0,,0,Transient,68.0,0,0
City Hotel,0,183,2017,June,25,18,2,0,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,42.0,,0,Transient,108.0,1,1
City Hotel,0,72,2015,October,44,28,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,No Deposit,37.0,,58,Transient-Party,85.67,0,0
Resort Hotel,0,1,2016,June,25,14,0,1,1,0.0,0,BB,,Direct,Direct,0,0,3,A,No Deposit,,,0,Transient,95.0,0,0
City Hotel,1,305,2016,November,45,4,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,Non Refund,21.0,,0,Transient,89.0,0,0
City Hotel,1,28,2017,March,12,21,0,4,3,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,E,No Deposit,9.0,,0,Transient,127.93,0,1
City Hotel,1,44,2015,September,37,10,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,Non Refund,41.0,,0,Transient,126.0,0,0
Resort Hotel,0,253,2017,July,27,7,0,2,2,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,No Deposit,,,0,Transient,89.1,0,0
City Hotel,0,6,2017,June,23,8,0,1,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,No Deposit,157.0,,0,Transient,120.0,0,0
City Hotel,0,10,2015,September,36,3,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Contract,117.67,0,1
City Hotel,1,315,2016,September,40,30,1,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,Non Refund,31.0,,69,Transient,160.0,0,0
City Hotel,0,0,2016,November,49,28,1,1,2,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,No Deposit,,,0,Transient,4.5,0,0
Resort Hotel,1,74,2017,February,7,18,1,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,No Deposit,,498.0,0,Transient-Party,40.0,0,0
Resort Hotel,0,217,2016,May,21,20,2,6,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,No Deposit,40.0,,0,Transient,84.96,0,0
City Hotel,1,286,2016,May,21,17,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,Non Refund,1.0,,75,Transient,65.0,0,0
Resort Hotel,0,0,2015,November,47,19,0,1,1,0.0,0,BB,,Direct,Direct,0,0,0,A,No Deposit,,,0,Transient,38.0,0,0
City Hotel,0,121,2016,September,37,9,2,4,2,1.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,No Deposit,11.0,,0,Transient,89.76,0,0
Resort Hotel,0,0,2017,May,19,12,0,1,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,D,No Deposit,,,0,Transient,95.0,0,0
Resort Hotel,0,2,2015,August,32,2,2,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,240.0,,0,Transient,146.25,0,1
Resort Hotel,0,93,2017,May,20,17,2,5,2,0.0,0,FB,FRA,Direct,Direct,0,0,0,E,No Deposit,250.0,,0,Transient-Party,170.0,0,0
City Hotel,1,1,2016,April,17,19,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,214.0,,0,Transient-Party,107.0,0,0
Resort Hotel,0,169,2016,March,14,31,0,3,2,0.0,0,BB,BEL,Groups,Direct,0,0,0,A,Refundable,,223.0,0,Transient-Party,66.0,0,0
City Hotel,0,8,2016,January,4,19,0,5,2,0.0,0,SC,ROU,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,79.4,0,1
Resort Hotel,0,89,2015,September,37,8,0,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,No Deposit,240.0,,0,Transient,97.0,0,1
Resort Hotel,0,37,2015,August,34,16,1,0,1,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,No Deposit,,307.0,0,Transient-Party,172.0,0,0
Resort Hotel,0,138,2015,September,38,16,2,5,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,96.0,,0,Transient,66.15,1,0
City Hotel,0,1,2015,August,33,11,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Contract,105.0,0,3
City Hotel,1,1,2015,November,47,19,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,No Deposit,,40.0,0,Transient,65.0,0,0
Resort Hotel,0,65,2017,June,25,22,0,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,No Deposit,240.0,,0,Transient,221.0,1,1
Resort Hotel,0,20,2016,December,49,1,0,2,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,No Deposit,240.0,,0,Transient-Party,61.0,1,1
Resort Hotel,1,86,2017,April,14,8,2,5,2,2.0,0,HB,PRT,Online TA,TA/TO,0,0,0,G,No Deposit,240.0,,0,Transient,195.86,0,0
Resort Hotel,0,2,2017,January,4,25,0,1,1,0.0,0,BB,,Direct,Direct,0,0,2,A,No Deposit,,224.0,0,Transient,35.0,0,1
City Hotel,1,396,2017,April,17,25,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,Non Refund,229.0,,0,Transient,90.0,0,0
Resort Hotel,0,3,2016,December,52,19,1,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,171.0,,0,Transient,30.0,0,0
City Hotel,1,150,2017,May,19,12,1,2,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,120.0,0,1
City Hotel,0,11,2015,November,48,22,2,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,2,11,A,No Deposit,,40.0,0,Transient,65.0,0,0
City Hotel,0,3,2016,August,32,1,1,0,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,No Deposit,9.0,,0,Transient,201.0,0,1
City Hotel,1,11,2016,November,47,18,3,7,1,0.0,0,BB,EGY,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,76.93,0,1
City Hotel,0,14,2017,July,29,19,0,1,1,0.0,0,BB,MEX,Online TA,TA/TO,0,0,0,A,No Deposit,8.0,,0,Transient,150.0,0,2
City Hotel,0,190,2016,June,24,9,2,8,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,No Deposit,11.0,,0,Transient,83.79,0,0
Resort Hotel,0,225,2016,May,22,26,0,3,1,0.0,0,BB,GBR,Groups,Direct,0,0,0,A,No Deposit,,223.0,0,Transient-Party,60.0,0,0
City Hotel,0,1,2017,August,34,24,0,1,2,0.0,0,SC,FRA,Direct,Direct,0,0,0,A,No Deposit,14.0,,0,Transient,128.0,1,1
City Hotel,0,6,2016,December,53,30,0,2,2,1.0,0,BB,THA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,158.0,0,2
City Hotel,0,0,2016,May,19,4,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,No Deposit,40.0,,0,Transient,65.0,0,0
City Hotel,0,34,2017,June,26,27,0,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,113.5,0,0
Resort Hotel,0,2,2016,August,35,23,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,No Deposit,240.0,,0,Transient,199.0,0,1
Resort Hotel,0,26,2015,July,31,27,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,No Deposit,240.0,,0,Transient-Party,173.0,0,0
City Hotel,1,17,2017,February,8,20,1,2,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,80.0,0,0
City Hotel,1,36,2016,December,51,16,0,2,3,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,154.0,0,0
City Hotel,1,198,2017,May,20,19,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,Non Refund,12.0,,23,Transient,110.0,0,0
City Hotel,0,26,2016,October,44,29,0,1,2,0.0,0,BB,FIN,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,130.0,0,1
City Hotel,1,13,2017,August,33,13,1,0,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,170.0,0,0
City Hotel,0,2,2017,May,20,17,0,1,1,0.0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,E,No Deposit,474.0,,0,Transient-Party,215.0,0,1
City Hotel,0,125,2016,July,28,5,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,118.58,0,1
City Hotel,0,60,2016,April,17,18,1,3,2,0.0,0,BB,SVK,Direct,Direct,0,0,0,D,No Deposit,14.0,,0,Transient,98.68,0,0
Resort Hotel,0,143,2016,June,23,4,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,No Deposit,143.0,,0,Transient,98.6,0,3
City Hotel,0,16,2016,February,8,17,0,4,3,0.0,0,BB,FRA,Direct,Direct,0,0,0,F,No Deposit,14.0,,0,Transient,168.0,0,1
City Hotel,0,141,2017,July,29,21,1,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient-Party,138.0,0,0
City Hotel,1,111,2017,April,17,27,1,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,Non Refund,31.0,,0,Transient,120.0,0,0
Resort Hotel,0,0,2016,April,16,14,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,No Deposit,154.0,,0,Transient,37.0,0,0
City Hotel,0,188,2016,July,28,7,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,B,No Deposit,9.0,,0,Transient-Party,86.75,0,1
City Hotel,0,82,2017,May,20,20,0,1,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,162.0,0,2
City Hotel,0,193,2017,March,12,23,1,3,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,108.0,0,1
City Hotel,1,62,2016,September,38,11,2,1,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,135.9,0,0
City Hotel,0,82,2016,July,31,24,2,4,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,No Deposit,89.0,,0,Transient,67.83,0,0
City Hotel,1,134,2015,December,49,4,2,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,Non Refund,3.0,,91,Transient,65.0,0,0
City Hotel,0,38,2017,June,25,21,0,4,2,0.0,0,BB,HUN,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,170.0,0,2
Resort Hotel,0,34,2015,October,44,27,0,4,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,No Deposit,240.0,,0,Transient,56.0,0,1
City Hotel,1,43,2016,September,38,16,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,No Deposit,86.0,,0,Transient-Party,130.0,0,0
City Hotel,0,132,2017,June,26,30,2,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient-Party,91.58,0,1
Resort Hotel,0,171,2016,April,15,4,1,1,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,Non Refund,298.0,,0,Transient-Party,85.0,0,0
Resort Hotel,0,278,2017,May,20,19,2,5,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,E,No Deposit,240.0,,0,Transient-Party,93.73,1,2
City Hotel,1,98,2016,April,15,9,2,2,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,86.7,0,1
City Hotel,1,0,2016,May,20,9,1,0,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,89.0,0,0
City Hotel,0,316,2016,May,22,26,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,No Deposit,30.0,,0,Transient-Party,110.0,0,0
Resort Hotel,1,140,2016,February,7,12,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,Non Refund,,,0,Transient,50.0,0,0
City Hotel,0,60,2017,February,6,8,0,4,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,74.8,0,3
Resort Hotel,0,152,2017,April,14,5,0,4,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,No Deposit,,223.0,0,Transient-Party,48.0,0,0
Resort Hotel,0,69,2016,October,44,29,2,5,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,No Deposit,240.0,,0,Transient-Party,52.86,0,3
Resort Hotel,1,231,2016,September,40,30,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,Non Refund,96.0,,0,Transient,57.6,0,0
City Hotel,1,56,2016,June,23,4,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,140.4,0,0
City Hotel,0,26,2016,October,41,3,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,153.0,0,2
City Hotel,1,6,2017,May,19,10,0,1,2,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,Non Refund,47.0,,0,Transient,90.0,0,0
City Hotel,0,5,2016,May,20,10,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,3,31,A,No Deposit,,40.0,0,Transient,65.0,0,0
City Hotel,1,9,2016,April,15,8,0,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,89.0,0,0
City Hotel,0,69,2016,December,52,22,0,2,3,0.0,0,BB,CHN,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,22.0,,0,Transient,92.65,0,0
Resort Hotel,1,239,2017,April,16,22,2,5,3,0.0,0,FB,PRT,Groups,Corporate,0,0,0,C,No Deposit,,,0,Transient-Party,158.0,0,0
City Hotel,0,191,2016,March,14,30,1,4,2,0.0,0,BB,POL,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,28.0,,0,Transient,69.0,0,0
City Hotel,0,42,2015,November,48,25,0,3,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,No Deposit,15.0,,0,Transient,106.8,0,1
City Hotel,0,0,2016,June,24,9,0,2,3,0.0,0,HB,NZL,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,157.0,0,1
City Hotel,0,99,2016,February,8,19,0,2,1,0.0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,No Deposit,,67.0,0,Transient-Party,80.5,0,0
City Hotel,1,314,2015,August,35,27,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,Non Refund,1.0,,0,Contract,62.0,0,0
Resort Hotel,0,157,2017,March,12,25,2,5,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,177.0,,0,Transient,54.4,0,0
City Hotel,1,315,2016,September,40,30,1,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,Non Refund,31.0,,69,Transient,160.0,0,0
City Hotel,0,7,2017,January,4,23,1,0,1,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,97.0,0,2
City Hotel,1,19,2017,February,7,15,3,9,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,No Deposit,,,0,Transient-Party,110.33,0,0
City Hotel,0,161,2016,June,27,28,2,7,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,7.0,,0,Transient,66.53,0,1
City Hotel,0,40,2017,January,1,3,0,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,No Deposit,7.0,,0,Transient,99.48,0,2
City Hotel,0,14,2015,September,40,30,0,2,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Contract,110.5,0,1
City Hotel,1,182,2016,October,42,12,0,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,98.1,0,0
City Hotel,0,116,2017,March,12,24,0,2,1,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,No Deposit,171.0,,0,Transient-Party,90.0,0,0
Resort Hotel,0,106,2015,September,39,25,2,4,3,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,8.0,,0,Contract,95.82,0,2
City Hotel,0,165,2017,May,20,15,1,3,2,0.0,1,HB,FRA,Direct,Direct,0,0,0,D,No Deposit,14.0,,0,Transient,185.0,0,2
City Hotel,0,0,2017,January,3,16,1,3,1,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,416.0,,0,Transient,113.0,0,0
City Hotel,0,48,2016,February,9,21,2,4,0,0.0,0,SC,CHE,Direct,Direct,0,0,0,B,No Deposit,14.0,,0,Transient-Party,56.27,0,0
Resort Hotel,1,155,2017,May,18,1,1,4,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,A,No Deposit,240.0,,0,Transient,115.0,0,1
Resort Hotel,0,307,2017,May,21,22,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,No Deposit,40.0,,0,Transient,93.81,0,0
City Hotel,0,3,2015,December,52,21,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,B,No Deposit,168.0,,0,Transient-Party,37.5,0,1
Resort Hotel,1,219,2016,March,10,2,2,5,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,Non Refund,310.0,,0,Transient,52.0,0,0
City Hotel,0,99,2017,June,23,5,1,2,2,1.0,0,BB,POL,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,162.0,0,2
City Hotel,0,198,2016,May,21,20,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,No Deposit,1.0,,98,Transient-Party,65.0,0,0
Resort Hotel,0,73,2016,September,40,26,3,7,2,0.0,0,BB,IRL,Direct,Direct,1,0,0,D,No Deposit,,,0,Transient,82.0,0,3
City Hotel,0,215,2016,November,48,21,1,2,1,0.0,0,BB,MKD,Groups,Corporate,0,0,0,A,No Deposit,,233.0,0,Transient,75.0,0,1
Resort Hotel,0,2,2017,January,5,29,1,0,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,No Deposit,240.0,,0,Transient-Party,58.0,0,1
Resort Hotel,1,50,2016,March,13,23,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,No Deposit,240.0,,0,Transient,87.75,0,2
Resort Hotel,1,47,2015,August,33,15,6,12,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,No Deposit,240.0,,0,Transient,181.94,0,0
City Hotel,1,44,2015,September,37,10,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,Non Refund,41.0,,0,Transient,126.0,0,0
City Hotel,0,59,2017,February,6,9,1,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,No Deposit,14.0,,0,Transient,79.2,0,1
City Hotel,1,72,2017,May,20,19,1,2,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,144.0,0,0
City Hotel,0,89,2016,April,16,12,0,3,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient-Party,96.3,0,1
City Hotel,0,9,2017,January,2,13,2,2,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,86.0,1,0
City Hotel,0,4,2016,March,13,22,0,2,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,137.0,0,0
City Hotel,0,231,2016,December,53,27,0,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,79.0,,0,Transient,64.6,0,0
City Hotel,1,273,2015,July,29,17,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,No Deposit,6.0,,0,Transient-Party,101.5,0,0
City Hotel,0,113,2016,October,42,13,0,1,1,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient-Party,108.0,0,1
City Hotel,0,174,2016,August,32,6,0,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,105.3,0,1
City Hotel,1,17,2016,June,25,16,0,2,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,177.0,0,0
City Hotel,0,18,2016,December,51,11,1,0,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,378.0,,0,Transient-Party,80.0,0,0
City Hotel,0,107,2017,January,1,6,1,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,102.6,0,0
Resort Hotel,1,20,2017,July,30,29,2,3,3,1.0,0,HB,LUX,Online TA,TA/TO,0,0,0,H,No Deposit,240.0,,0,Transient,363.0,0,0
